epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
70,1994.43,1.15458,0.57197,0.00146,0.9376,0.93661,0.9758,0.77551,0.98253,0.4042,0.00199,0.0003169,0.0003169,0.0003169
71,2023.21,1.14444,0.54509,0.00146,0.94454,0.93427,0.97908,0.78117,0.96396,0.39394,0.00198,0.000307,0.000307,0.000307
72,2052.55,1.13885,0.54662,0.00146,0.94237,0.93954,0.97749,0.78064,0.96435,0.39637,0.00196,0.0002971,0.0002971,0.0002971
73,2081.95,1.13919,0.55735,0.00145,0.9437,0.94154,0.97675,0.78568,0.95187,0.40084,0.00194,0.0002872,0.0002872,0.0002872
74,2110.74,1.12659,0.54281,0.00146,0.93937,0.93599,0.97629,0.77914,0.95886,0.39902,0.00198,0.0002773,0.0002773,0.0002773
75,2138.09,1.11227,0.53797,0.00145,0.93444,0.93903,0.97529,0.78207,0.95973,0.40412,0.00196,0.0002674,0.0002674,0.0002674
76,2166.93,1.11867,0.52884,0.00149,0.93668,0.92896,0.97615,0.7784,0.96821,0.39949,0.00198,0.0002575,0.0002575,0.0002575
77,2195.74,1.09835,0.51551,0.00146,0.93743,0.95363,0.97932,0.78593,0.95175,0.38561,0.00195,0.0002476,0.0002476,0.0002476
78,2224.98,1.09505,0.53827,0.00143,0.94344,0.94445,0.97983,0.78408,0.95212,0.39068,0.00197,0.0002377,0.0002377,0.0002377
79,2253.4,1.13867,0.5408,0.0014,0.94761,0.93482,0.97872,0.78657,0.95125,0.39301,0.00193,0.0002278,0.0002278,0.0002278
80,2281.34,1.11636,0.51795,0.0014,0.94191,0.94555,0.97903,0.79091,0.94357,0.38241,0.00192,0.0002179,0.0002179,0.0002179
81,2310,1.09889,0.52484,0.00142,0.94214,0.95075,0.97996,0.78978,0.94379,0.37719,0.00191,0.000208,0.000208,0.000208
82,2338.72,1.09584,0.51917,0.00144,0.9497,0.93441,0.97917,0.78905,0.9477,0.38326,0.00192,0.0001981,0.0001981,0.0001981
